date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:46	2119/2119	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22b78e3c38381dbab08028ddf20fdb3eb3%22	https://armando.nicepage.io/robots.txt		(from )
09:47:46	15074/15074	---M-Z	200	added ('OK')	text/html	etag:W/%228bc67e06214044f8e26c1dbe8f3a233b%22	https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432	D:/repoUni/armandolattaruli.github.io/a/armando.nicepage.io/index3d46.html	(from )
09:47:49	1472120/1472120	---MCZ	200	added ('OK')	text/css	etag:W/%2247295681afe10e32fcfe34e78aa6270d%22	http://capp.nicepage.com/9d3ddad56eacc61e73ae5a9dec5b756d2967e68b/nicepage.css	D:/repoUni/armandolattaruli.github.io/a/capp.nicepage.com/9d3ddad56eacc61e73ae5a9dec5b756d2967e68b/nicepage.css	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
09:47:49	826561/826561	---M-Z	200	added ('OK')	text/css	etag:W/%22f7d92272a078ef5b8c0bd39209717bfb%22	https://armando.nicepage.io/nicepage-site.css	D:/repoUni/armandolattaruli.github.io/a/armando.nicepage.io/nicepage-site.css	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
09:47:49	9531/9531	---M-Z	200	added ('OK')	text/css	etag:W/%22580f76c071fa49fc3411ebb82320debb%22	https://armando.nicepage.io/Home---Armando-Lattaruli.css	D:/repoUni/armandolattaruli.github.io/a/armando.nicepage.io/Home---Armando-Lattaruli.css	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
09:47:54	10365/10365	---M--	200	added ('OK')	application/octet-stream	etag:%22bd753b0f7ee7b11572d9484919efad73%22	https://armando.nicepage.io/favicon.ico	D:/repoUni/armandolattaruli.github.io/a/armando.nicepage.io/favicon.ico	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
09:47:54	372483/372483	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220336128475ad972ce586a52cb443a255%22	http://capp.nicepage.com/9d3ddad56eacc61e73ae5a9dec5b756d2967e68b/nicepage.js	D:/repoUni/armandolattaruli.github.io/a/capp.nicepage.com/9d3ddad56eacc61e73ae5a9dec5b756d2967e68b/nicepage.js	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
09:47:54	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	D:/repoUni/armandolattaruli.github.io/a/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
09:47:54	15074/15074	---M-Z	200	added ('OK')	text/html	etag:W/%228bc67e06214044f8e26c1dbe8f3a233b%22	https://armando.nicepage.io/	D:/repoUni/armandolattaruli.github.io/a/armando.nicepage.io/index.html	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
09:47:54	18955/18955	---M--	200	added ('OK')	image/png	etag:%22d6b8ae14f72b0ef50e2577579f6e9ccf%22	https://assets.nicepagecdn.com/5a8def22/6228288/images/Artboard1-1.png	D:/repoUni/armandolattaruli.github.io/a/assets.nicepagecdn.com/5a8def22/6228288/images/Artboard1-1.png	(from https://armando.nicepage.io/?version=b141e1c4-95ac-45b3-88de-b253ddbb6432)
